artist_name,artist_type,company,debut_year,gender,main_market,secondary_market
Girls' Generation,group,SM,2007,female,Korea,Japan
aespa,group,SM,2020,female,Korea,China
SHINee,group,SM,2008,male,Korea,Japan
WayV,group,SM,2019,male,China,Southeast Asia
Hearts2Hearts,group,SM,2025,female,Korea,Japan
TVXQ,group,SM,2004,male,Japan,Korea
Red Velvet,group,SM,2014,female,Korea,Global
NCT 127,group,SM,2016,male,Korea,USA
NCT DREAM,group,SM,2016,male,Korea,China
NCT WISH,group,SM,2024,male,Japan,Korea
Kangta,solo,SM,1996,male,Korea,China
SUPER JUNIOR,group,SM,2005,male,Korea,Japan
EXO,group,SM,2012,male,China,Korea
RIIZE,group,SM,2023,male,Korea,Japan
2PM,group,JYP,2008,male,Japan,Korea
Stray Kids,group,JYP,2018,male,USA,Japan
NiziU,group,JYP,2020,female,Japan,Korea
NEXZ,group,JYP,2024,male,Japan,Korea
ITZY,group,JYP,2019,female,Global,Korea
TWICE,group,JYP,2015,female,Japan,USA
KickFlip,group,JYP,2025,male,Korea,Global
J. Y. Park,solo,JYP,1994,male,Korea,Japan
GIRLSET,group,JYP,2025,female,USA,Global
NMIXX,group,JYP,2022,female,Global,Korea
DAY6,group,JYP,2015,male,Korea,Southeast Asia
Xdinary Heroes,group,JYP,2021,male,Global,Korea
SECHSKIES,group,YG,1997,male,Korea,N/A
2NE1,group,YG,2009,female,Global,Korea
WINNER,group,YG,2014,male,Korea,Southeast Asia
BLACKPINK,group,YG,2016,female,Global,Southeast Asia
TREASURE,group,YG,2020,male,Japan,Southeast Asia
BABYMONSTER,group,YG,2023,female,Global,China
JINUSEAN,group,YG,1997,male,Korea,USA
Lee Hyun,solo,HYBE,2007,male,Korea,USA
BTS,group,HYBE,2013,male,Global,Korea
TXT,group,HYBE,2019,male,USA,Japan
CORTIS,group,HYBE,2025,male,Global,Korea
ENHYPEN,group,HYBE,2020,male,Japan,USA
ILLIT,group,HYBE,2024,female,Korea,Global
EVAN,solo,HYBE,2020,male,Korea,N/A
LE SSERAFIM,group,HYBE,2022,female,Japan,Korea
BUMZU,solo,HYBE,2011,male,Korea,Global
SEVENTEEN,group,HYBE,2015,male,Japan,Korea
TWS,group,HYBE,2024,male,Korea,Japan
Minhyun,solo,HYBE,2012,male,Korea,Japan
ZICO,solo,HYBE,2011,male,Korea,Global
BOYNEXTDOOR,group,HYBE,2023,male,Korea,Japan
NewJeans,group,HYBE,2022,female,Korea,Japan
&TEAM,group,HYBE,2022,male,Japan,Korea
aoen,group,HYBE,2025,male,Japan,Korea
KATSEYE,group,HYBE,2023,female,USA,Global
SANTOS BRAVOS,group,HYBE,2025,male,Global,Korea
I-DLE,group,Cube,2018,female,Korea,China
IVE,group,STARSHIP,2021,female,Korea,Japan
Kep1er,group,WAKEONE,2022,female,Japan,Korea
tripleS,group,Modhaus,2023,female,Korea,Global
Apink,group,Around US,2011,female,Korea,Japan
ATEEZ,group,KQ,2018,male,USA,Korea
BoA,solo,BApal,2000,female,Japan,Korea
G-Dragon,solo,Galaxy Corporation,2006,male,Korea,Japan
